country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,totCases1mPop
China,"81,093",+39,"3,270",+9,"72,703","5,120","1,749",56
Italy,"63,927","+4,789","6,077",+601,"7,432","50,418","3,204","1,057"
USA,"40,855","+7,309",483,+64,187,"40,185","1,040",123
Spain,"33,089","+4,321","2,206",+434,"3,355","27,528","2,355",708
Germany,"28,865","+3,992",118,+24,422,"28,325",23,345
Iran,"23,049","+1,411","1,812",+127,"8,376","12,861",,274
France,"16,689",+671,674,,"2,200","13,815","1,746",256
S. Korea,"8,961",+64,111,+7,"3,166","5,684",59,175
Switzerland,"8,547","+1,073",118,+20,131,"8,298",141,988
UK,"5,837",+154,335,+54,135,"5,367",20,86
Netherlands,"4,749",+545,213,+34,2,"4,534",435,277
Austria,"4,306",+724,21,+5,9,"4,276",14,478
Belgium,"3,743",+342,88,+13,401,"3,254",322,323
Norway,"2,547",+162,10,+3,6,"2,531",41,470
Portugal,"2,060",+460,23,+9,14,"2,023",47,202
Sweden,"2,046",+112,25,+4,16,"2,005",104,203
Australia,"1,717",+108,7,,88,"1,622",11,67
Brazil,"1,629",+83,25,,2,"1,602",18,8
Canada,"1,563",+93,21,+1,18,"1,524",1,41
Malaysia,"1,518",+212,14,+4,159,"1,345",57,47
Denmark,"1,450",+55,24,+11,1,"1,425",55,250
Israel,"1,238",+167,1,,37,"1,200",24,143
Turkey,"1,236",,30,,,"1,206",,15
Czechia,"1,236",+116,1,,6,"1,229",19,115
Japan,"1,101",,41,,235,825,49,9
Ecuador,981,+192,18,+4,3,960,2,56
Ireland,906,,4,,5,897,29,183
Luxembourg,875,+77,8,,6,861,3,"1,398"
Pakistan,873,+97,6,+1,13,854,,4
Chile,746,+114,2,+1,11,733,7,39
Thailand,721,+122,1,,52,668,7,10
Diamond Princess,712,,8,,567,137,15,
Finland,700,+74,1,,10,689,13,126
Greece,695,+71,17,+2,19,659,35,67
Poland,692,+58,8,+1,13,671,3,18
Iceland,588,+20,1,,51,536,14,"1,723"
Indonesia,579,+65,49,+1,30,500,,2
Romania,576,+143,6,+3,73,497,15,30
Saudi Arabia,562,+51,,,19,543,,16
Singapore,509,+54,2,,152,355,14,87
Qatar,501,+7,,,33,468,6,174
India,467,+71,9,+2,34,424,,0.3
Philippines,462,+82,33,+8,18,411,1,4
Slovenia,442,+28,3,+1,,439,12,213
Russia,438,+71,1,,17,420,,3
South Africa,402,+128,,,4,398,,7
Peru,363,,5,,1,357,5,11
Hong Kong,356,+38,4,,100,252,4,47
Estonia,352,+26,,,4,348,4,265
Bahrain,339,+5,2,,160,177,3,199
Egypt,327,,14,,56,257,,3
Mexico,316,+65,2,,4,310,1,2
Croatia,315,+61,1,,5,309,5,77
Panama,313,,3,,1,309,7,73
Colombia,277,+46,3,+1,3,271,,5
Lebanon,267,+19,4,,8,255,4,39
Iraq,266,+33,23,+3,62,181,,7
Argentina,266,,4,,27,235,,6
Serbia,249,+27,2,,3,244,12,28
Dominican Republic,245,+43,3,,,242,,23
Algeria,230,+29,17,,65,148,,5
Bulgaria,201,+14,3,,3,195,8,29
UAE,198,+45,2,,41,155,2,20
Taiwan,195,+26,2,,28,165,,8
Armenia,194,,,,2,192,6,65
Kuwait,189,+1,,,30,159,5,44
San Marino,187,+12,20,,4,163,13,"5,511"
Slovakia,186,+1,,,7,179,2,34
Latvia,180,+41,,,1,179,,95
Hungary,167,+36,7,+1,16,144,6,17
Lithuania,160,+17,1,,1,158,1,59
Uruguay,158,,,,,158,2,45
Morocco,143,+28,4,,3,136,1,4
North Macedonia,136,+21,2,+1,1,133,1,65
Costa Rica,134,,2,,2,130,2,26
Andorra,133,+20,1,,1,131,2,"1,721"
Bosnia and Herzegovina,130,+4,1,,2,127,1,40
Vietnam,123,+10,,,17,106,2,1
Faeroe Islands,118,+3,,,14,104,,"2,415"
Cyprus,116,+21,1,,3,112,3,96
Jordan,112,,,,1,111,,11
Moldova,109,+15,1,,2,106,3,27
Malta,107,+17,,,2,105,1,242
Albania,104,+15,4,+2,2,98,2,36
New Zealand,102,,,,,102,,21
Burkina Faso,99,+24,4,,5,90,,5
Sri Lanka,95,+13,,,2,93,2,4
Brunei ,91,+3,,,2,89,2,208
Tunisia,89,+14,3,,1,85,11,8
Cambodia,87,+3,,,2,85,1,5
Belarus,81,+5,,,22,59,,9
Venezuela,77,+7,,,15,62,2,3
Ukraine,73,,3,,1,69,,2
Azerbaijan,72,+7,1,,10,61,3,7
Réunion,71,+7,,,1,70,,79
Senegal,67,,,,5,62,,4
Oman,66,+11,,,17,49,,13
Kazakhstan,62,+2,,,,62,,3
Georgia,61,+7,,,8,53,1,15
Palestine,59,,,,17,42,,12
Guadeloupe,58,,1,,,57,4,145
Cameroon,56,+16,,,2,54,,2
Trinidad and Tobago,51,+1,,,,51,,36
Liechtenstein,46,+9,,,,46,,"1,206"
Uzbekistan,46,+3,,,,46,,1
Martinique,44,,1,,,43,7,117
Afghanistan,40,,1,,1,38,,1
Cuba,40,+5,1,,,39,3,4
DRC,36,+6,1,,,35,,0.4
Nigeria,36,+6,1,+1,2,33,,0.2
Channel Islands,36,+4,,,,36,,207
Bangladesh,33,+6,3,+1,5,25,,0.2
Puerto Rico,31,+8,2,+1,1,28,,11
Guam,29,+2,1,,,28,,172
Mauritius,28,,2,,,26,1,22
Bolivia,27,+3,,,,27,,2
Honduras,27,+1,,,,27,,3
Macao,25,+3,,,10,15,,39
Ivory Coast,25,+11,,,2,23,,0.9
Ghana,24,+1,1,,,23,,0.8
Monaco,23,,,,1,22,,586
Montenegro,22,+1,1,+1,,21,,35
Paraguay,22,,1,,,21,1,3
Mayotte,21,+10,,,,21,,77
French Guiana,20,+2,,,6,14,,67
Guatemala,19,,1,,,18,,1
Guyana,19,,1,,,18,,24
Jamaica,19,,1,,2,16,,6
Rwanda,19,,,,,19,,1
French Polynesia,18,,,,,18,,64
Togo,18,+2,,,,18,,2
Barbados,17,+3,,,,17,,59
U.S. Virgin Islands,17,+11,,,,17,,163
Kenya,16,+1,,,,16,,0.3
Kyrgyzstan,16,+2,,,,16,,2
Gibraltar,15,,,,5,10,,445
Isle of Man,13,+8,,,,13,,153
Maldives,13,,,,5,8,,24
Madagascar,12,+9,,,,12,,0.4
Tanzania,12,,,,,12,,0.2
Ethiopia,11,,,,,11,,0.10
Mongolia,10,,,,,10,,3
Aruba,9,,,,1,8,,84
Equatorial Guinea,9,+3,,,,9,,6
New Caledonia,8,+4,,,,8,,28
Seychelles,7,,,,,7,,71
Bermuda,6,,,,,6,,96
Haiti,6,+4,,,,6,,0.5
Gabon,5,,1,,,4,,2
Saint Martin,5,,,,,5,,129
Suriname,5,,,,,5,,9
Curaçao,4,+1,1,,,3,,24
Bahamas,4,,,,,4,,10
